title,name,parrot_id,short_id,home_country
viola davis,Viola Davis,4258e611-29c5-45b9-ac91-71dffad64d99,4241968704,US
funke akindele,Funke Akindele,89464fd3-0e69-4d4f-9c9b-311264972daa,147671261,NG
idris elba,Idris Elba,7254d60d-c365-4c19-8df5-cac59d4910a0,2761879153,GB
adesua etomi,Adesua Etomi,99d75565-64f2-43f6-a0e1-fea16ef4cf73,128668216,NG
banky wellington,Banky W.,86afa71f-d166-4bf7-9192-2780f3e964e8,409837648,NG
thuso mbedu,Thuso Mbedu,29e735d6-55f1-4f2b-945c-77b8b80019ef,1101186237,ZA
omar sy,Omar Sy,05d9305c-494a-4f89-a9c7-5f64acb4f042,3990514473,FR
genevieve nnaji,Genevieve Nnaji,f33af750-80c6-427d-80a4-8248c6512fb6,4246246965,NG
david oyelowo,David Oyelowo,0837b5fa-c796-443d-9491-a54c632e5568,2617785732,GB
ayo edebiri,Ayo Edebiri,760de67e-3daa-439b-840a-e4a94b938962,3691505792,US
trevor noah,Trevor Noah,88b592c7-7aa7-466d-b9aa-8706c10046bd,3429769562,ZA
lupita nyong'o,Lupita Nyong'o,ce8eb5f7-55cd-4dcc-82b3-1f4616315653,1824248451,US
issa rae,Issa Rae,e12a9671-f27a-4d17-91b8-4e75af0b3bf4,3697147110,US
richard mofe-damijo,Richard Mofe-Damijo,3395c558-d147-4146-9ee2-ec07d58210db,867223115,NG
damson idris,Damson Idris,38ee49a9-3e89-4a80-8c6b-da97e9a9c446,4059503986,GB
pearl thusi,Pearl Thusi,1f4afcab-0e2e-41a2-b090-6f3b318bb68e,1079983415,ZA
john boyega,John Boyega,5988d3bb-6258-4bcb-afb5-346ed3b0b130,2287487609,GB
